Chicago averages for regular season,,,,,,,,,,,
Player,G,Min,Pts,ORb,DRb,TRb,Ast,Stl,Blk,TO,PF
Michael Jordan,82,37.7,30.4,1.8,4.8,6.6,4.3,2.2,0.5,2.4,2.4
Scottie Pippen,77,36.7,19.4,2,4.5,6.4,5.9,1.7,0.7,2.7,2.6
Toni Kukoc,81,26,13.1,1.4,2.6,4,3.5,0.8,0.3,1.4,1.9
Luc Longley,62,26.5,9.1,1.7,3.5,5.1,1.9,0.4,1.4,1.8,3.6
Steve Kerr,82,23.4,8.4,0.3,1,1.3,2.3,0.8,0,0.5,1.3
Ron Harper,80,23.6,7.4,0.9,1.7,2.7,2.6,1.3,0.4,0.9,1.7
Dennis Rodman,64,32.6,5.5,5.6,9.3,14.9,2.5,0.6,0.4,2.2,3.1
Bill Wennington,71,15,5.3,0.8,1.6,2.5,0.6,0.3,0.2,0.5,2.4
Jack Haley,1,7,5,1,1,2,0,0,0,1,2
Jud Buechler,74,10,3.8,0.6,0.9,1.5,0.8,0.5,0.1,0.5,0.9
Dickey Simpkins,60,11.4,3.6,1.1,1.5,2.6,0.6,0.2,0.1,0.9,1.3
James Edwards,28,9.8,3.5,0.5,0.9,1.4,0.4,0,0.3,0.8,2.2
Jason Caffey,57,9.6,3.2,0.9,1.1,1.9,0.4,0.2,0.1,0.8,1.6
Randy Brown,68,9.9,2.7,0.3,0.7,1,1.1,0.8,0.2,0.5,1.3
John Salley,17,11.2,2.1,1.2,1.4,2.5,0.9,0.5,0.9,,