1996 Chicago Bulls,,,,,,,,
,,,,,,,,
0,Randy Brown,PG,6-2,190,"May 22, 1968",,4,"Houston, New Mexico State"
30,Jud Buechler,SF,6-6,220,"June 19, 1968",,5,Arizona
35,Jason Caffey,PF,6-8,255,"June 12, 1973",,R,Alabama
53,James Edwards,C,7-1,252,"November 22, 1955",,18,Washington
54,Jack Haley,C,6-10,240,"January 27, 1964",,6,UCLA
9,Ron Harper,PG,6-6,185,"January 20, 1964",,9,Miami University
23,Michael Jordan,SG,6-6,198,"February 17, 1963",,10,UNC
25,Steve Kerr,PG,6-3,175,"September 27, 1965",,7,Arizona
7,Toni Kukoč,SF,6-10,192,"September 18, 1968",,2,
13,Luc Longley,C,7-2,265,"January 19, 1969",,4,New Mexico
33,Scottie Pippen,SF,6-8,210,"September 25, 1965",,8,University of Central Arkansas
91,Dennis Rodman,PF,6-7,210,"May 13, 1961",,9,"North Central Texas College, Southeastern Oklahoma State University"
22,John Salley,PF,6-11,230,"May 16, 1964",,9,Georgia Tech
8,Dickey Simpkins,PF,6-9,248,"April 6, 1972",,1,Providence
34,Bill Wennington,C,7-0,245,"April 26, 1963",,8,