Game,Result,Score,Opponent,
1,W,105-91,Charlotte Hornets
2,W,107-85,Boston Celtics
3,W,117-106,Miami Heat
4,W,110-106,Atlanta Hawks
5,W,106-88,Orlando Magic
6,W,120-99,Milwaukee Bucks
7,W,113-94,Los Angeles Clippers
8,W,107-100,Golden State Warriors
9,W,110-102,Indiana Pacers
10,W,103-94,Toronto Raptors
11,W,111-85,Philadelphia 76ers
12,W,114-88,Washington Bullets
13,W,108-91,Cleveland Cavaliers
14,W,100-84,Detroit Pistons
15,W,117-85,Milwaukee Bucks
16,W,108-102,New York Knicks
17,W,113-104,Seattle SuperSonics
18,W,120-112,Denver Nuggets
19,W,117-86,Vancouver Grizzlies
20,W,99-91,Utah Jazz
21,W,108-96,Dallas Mavericks
22,W,128-118,San Antonio Spurs
23,W,120-93,Atlanta Hawks
24,W,108-104,Indiana Pacers
25,W,123-88,Toronto Raptors
26,W,103-86,Charlotte Hornets
27,W,108-89,Cleveland Cavaliers
28,W,99-93,New York Knicks
29,W,110-102,Houston Rockets
30,L,104-108,Indiana Pacers
31,W,95-91,Atlanta Hawks
32,W,100-86,Detroit Pistons
33,W,110-102,Orlando Magic
34,W,128-118,Denver Nuggets
35,W,120-104,Utah Jazz
36,W,99-84,Minnesota Timberwolves
37,W,102-96,San Antonio Spurs
38,W,111-95,Philadelphia 76ers
39,W,113-84,Boston Celtics
40,W,107-104,Seattle SuperSonics
41,W,99-94,Los Angeles Lakers
42,W,108-89,Sacramento Kings
43,W,102-88,Portland Trail Blazers
44,W,98-87,Phoenix Suns
45,W,104-96,Golden State Warriors
46,W,99-84,Los Angeles Clippers
47,W,109-91,Vancouver Grizzlies
48,W,112-88,Milwaukee Bucks
49,W,102-89,Miami Heat
50,W,96-89,New Jersey Nets
51,W,110-102,Washington Bullets
52,W,113-104,Charlotte Hornets
53,W,106-87,Detroit Pistons
54,W,102-101,New York Knicks
55,W,120-99,Philadelphia 76ers
56,W,89-80,Cleveland Cavaliers
57,W,109-81,Toronto Raptors
58,W,120-93,Dallas Mavericks
59,W,123-104,Denver Nuggets
60,W,106-101,Houston Rockets
61,W,110-102,Orlando Magic
62,W,100-92,Indiana Pacers
63,L,72-104,New York Knicks
64,W,98-94,Miami Heat
65,W,109-108,Atlanta Hawks
66,W,117-98,Detroit Pistons
67,W,103-96,Milwaukee Bucks
68,W,100-86,Boston Celtics
69,W,110-87,Toronto Raptors
70,W,98-73,Cleveland Cavaliers
71,W,100-86,New Jersey Nets
72,W,106-87,Washington Bullets
73,W,100-99,Charlotte Hornets
74,W,86-80,Orlando Magic
75,W,109-97,Miami Heat
76,L,72-91,Toronto Raptors
77,W,103-96,Detroit Pistons
78,W,112-90,Milwaukee Bucks
79,W,100-86,Washington Bullets
80,W,108-72,Philadelphia 76ers
81,L,92-98,Indiana Pacers
82,W,87-86,Washington Bullets